distance_m,received_power_w,signal_current_a,snr_db,theoretical_ber
244.0,5.795105809585e-06,1.738531742875e-06,3.246727275297e+01,1.460327940228e-98
246.0,5.621222201506e-06,1.686366660452e-06,3.220690151372e+01,5.663031842680e-93
248.0,5.453265313583e-06,1.635979594075e-06,3.194751949031e+01,9.952954709567e-88
250.0,5.291004048097e-06,1.587301214429e-06,3.168911392442e+01,8.350496003090e-83
252.0,5.134217616945e-06,1.540265285083e-06,3.143167226536e+01,3.510255043270e-78
254.0,4.982695018393e-06,1.494808505518e-06,3.117518216690e+01,7.734054709555e-74
256.0,4.836234543774e-06,1.450870363132e-06,3.091963148404e+01,9.314530779337e-70
258.0,4.694643312213e-06,1.408392993664e-06,3.066500826976e+01,6.376759061338e-66
260.0,4.557736831601e-06,1.367321049480e-06,3.041130077187e+01,2.573732151591e-62
262.0,4.425338584176e-06,1.327601575253e-06,3.015849742979e+01,6.335838816558e-59
264.0,4.297279635160e-06,1.289183890548e-06,2.990658687142e+01,9.818827567724e-56
266.0,4.173398263030e-06,1.252019478909e-06,2.965555790994e+01,9.865469697831e-53
268.0,4.053539610083e-06,1.216061883025e-06,2.940539954076e+01,6.605118284201e-50
270.0,3.937555352054e-06,1.181266605616e-06,2.915610093841e+01,3.022913992975e-47
272.0,3.825303385635e-06,1.147591015690e-06,2.890765145345e+01,9.684246175335e-45
274.0,3.716647532800e-06,1.114994259840e-06,2.866004060949e+01,2.220265156123e-42
276.0,3.611457260948e-06,1.083437178284e-06,2.841325810015e+01,3.718713808695e-40
278.0,3.509607417898e-06,1.052882225369e-06,2.816729378614e+01,4.638483701988e-38
280.0,3.410977980876e-06,1.023293394263e-06,2.792213769228e+01,4.386771069218e-36
282.0,3.315453818663e-06,9.946361455990e-07,2.767778000470e+01,3.198726504444e-34
284.0,3.222924466134e-06,9.668773398401e-07,2.743421106788e+01,1.826740467918e-32
286.0,3.133283910471e-06,9.399851731412e-07,2.719142138192e+01,8.291084412341e-31
288.0,3.046430388379e-06,9.139291165136e-07,2.694940159975e+01,3.032095496310e-29
290.0,2.962266193671e-06,8.886798581014e-07,2.670814252436e+01,9.050200470084e-28
292.0,2.880697494632e-06,8.642092483897e-07,2.646763510617e+01,2.231489917930e-26
294.0,2.801634160609e-06,8.404902481827e-07,2.622787044030e+01,4.596905402659e-25
296.0,2.724989597309e-06,8.174968791926e-07,2.598883976404e+01,7.996120848637e-24
298.0,2.650680590319e-06,7.952041770956e-07,2.575053445422e+01,1.186211800328e-22
