distance_m,beam_radius_m,geometric_collection_efficiency,water_transmittance,received_power_w,signal_current_a,background_current_a,shot_noise_variance_a2,thermal_noise_variance_a2,total_noise_variance_a2,noise_rms_current_a,snr_linear,snr_db
104.0,5.300043333767e-01,2.224954716616e-03,4.761366433904e-01,8.475059763721e-05,2.542517929116e-05,3.000000000000e-10,8.147542201037e-16,1.656778800000e-15,2.471533020104e-15,4.971451518524e-08,2.615541595963e+05,5.417561631170e+01
106.0,5.400044167108e-01,2.143311989910e-03,4.693903283780e-01,8.048399350082e-05,2.414519805025e-05,3.000000000000e-10,7.737390993806e-16,1.656778800000e-15,2.430517899381e-15,4.930028295437e-08,2.398627012927e+05,5.379962720322e+01
108.0,5.500045000450e-01,2.066081893390e-03,4.627396009807e-01,7.648463287526e-05,2.294538986258e-05,3.000000000000e-10,7.352930065093e-16,1.656778800000e-15,2.392071806509e-15,4.890881113367e-08,2.200982907424e+05,5.342616669886e+01
110.0,5.600045833792e-01,1.992952070690e-03,4.561831068307e-01,7.273208538979e-05,2.181962561694e-05,3.000000000000e-10,6.992195431141e-16,1.656778800000e-15,2.355998343114e-15,4.853862733035e-08,2.020782669286e+05,5.305519608614e+01
112.0,5.700046667133e-01,1.923637322577e-03,4.497195107501e-01,6.920777884560e-05,2.076233365368e-05,3.000000000000e-10,6.653401735372e-16,1.656778800000e-15,2.322118973537e-15,4.818836969163e-08,1.856384206232e+05,5.268667864867e+01
114.0,5.800047500475e-01,1.857876822100e-03,4.433474964788e-01,6.589480302753e-05,1.976844090826e-05,3.000000000000e-10,6.334923388689e-16,1.656778800000e-15,2.290271138869e-15,4.785677735566e-08,1.706310005444e+05,5.232057937396e+01
116.0,5.900048333817e-01,1.795431657312e-03,4.370657664067e-01,6.277773706673e-05,1.883332112002e-05,3.000000000000e-10,6.035277973747e-16,1.656778800000e-15,2.260306597375e-15,4.754268184878e-08,1.569229523206e+05,5.195686470274e+01
118.0,6.000049167158e-01,1.736082658244e-03,4.308730413092e-01,5.984249719375e-05,1.795274915813e-05,3.000000000000e-10,5.753111609367e-16,1.656778800000e-15,2.232089960937e-15,4.724499932201e-08,1.443943604313e+05,5.159550231451e+01
120.0,6.100050000500e-01,1.679628471169e-03,4.247680600871e-01,5.707620218923e-05,1.712286065677e-05,3.000000000000e-10,5.487186016228e-16,1.656778800000e-15,2.205497401623e-15,4.696272353285e-08,1.329370675547e+05,5.123646094486e+01
122.0,6.200050833842e-01,1.625883848511e-03,4.187495795094e-01,5.446705423161e-05,1.634011626948e-05,3.000000000000e-10,5.236367062687e-16,1.656778800000e-15,2.180415506269e-15,4.669491949098e-08,1.224534493231e+05,5.087971023033e+01
124.0,6.300051667183e-01,1.574678127238e-03,4.128163739603e-01,5.200423317128e-05,1.560126995138e-05,3.000000000000e-10,4.999614601292e-16,1.656778800000e-15,2.156740260129e-15,4.644071769610e-08,1.128553255093e+05,5.052522057740e+01
126.0,6.400052500525e-01,1.525853872357e-03,4.069672351895e-01,4.967780253890e-05,1.490334076167e-05,3.000000000000e-10,4.775973433303e-16,1.656778800000e-15,2.134376143330e-15,4.619930890533e-08,1.040629912176e+05,5.017296305229e+01
128.0,6.500053333867e-01,1.479265665357e-03,4.012009720664e-01,4.747862583086e-05,1.424358774926e-05,3.000000000000e-10,4.564565261163e-16,1.656778800000e-15,2.113235326116e-15,4.596993937473e-08,9.600435382824e+04,4.982290928880e+01
130.0,6.600054167208e-01,1.434779020168e-03,3.955164103372e-01,4.539829181473e-05,1.361948754442e-05,3.000000000000e-10,4.364581508069e-16,1.656778800000e-15,2.093236950807e-15,4.575190652647e-08,8.861416329436e+04,4.947503141176e+01
132.0,6.700055000550e-01,1.392269411516e-03,3.899123923861e-01,4.342904776723e-05,1.302871433017e-05,3.000000000000e-10,4.175276900096e-16,1.656778800000e-15,2.074306490010e-15,4.554455499848e-08,8.183332497618e+04,4.912930197387e+01
134.0,6.800055833892e-01,1.351621402559e-03,3.843877769993e-01,4.156373970195e-05,1.246912191059e-05,3.000000000000e-10,3.995963720253e-16,1.656778800000e-15,2.056375172025e-15,4.534727303847e-08,7.560828555810e+04,4.878569390408e+01
136.0,6.900056667233e-01,1.312727860372e-03,3.789414391327e-01,3.979575876793e-05,1.193872763038e-05,3.000000000000e-10,3.826006655742e-16,1.656778800000e-15,2.039379465574e-15,4.515948920852e-08,6.989048376647e+04,4.844418046575e+01
138.0,7.000057500575e-01,1.275489249320e-03,3.735722696828e-01,3.811899310595e-05,1.143569793179e-05,3.000000000000e-10,3.664818169883e-16,1.656778800000e-15,2.023260616988e-15,4.498066937017e-08,6.463585861801e+04,4.810473522318e+01
140.0,7.100058333917e-01,1.239812993594e-03,3.682791752609e-01,3.652778454069e-05,1.095833536221e-05,3.000000000000e-10,3.511854338897e-16,1.656778800000e-15,2.007964233890e-15,4.481031392313e-08,5.980440880560e+04,4.776733201536e+01
142.0,7.200059167258e-01,1.205612901299e-03,3.630610779703e-01,3.501688956482e-05,1.050506686945e-05,3.000000000000e-10,3.366611101292e-16,1.656778800000e-15,1.993439910129e-15,4.464795527378e-08,5.535979758948e+04,4.743194493553e+01
144.0,7.300060000600e-01,1.172808643369e-03,3.579169151868e-01,3.358144413913e-05,1.007443324174e-05,3.000000000000e-10,3.228620874066e-16,1.656778800000e-15,1.979640887407e-15,4.449315551191e-08,5.126899822482e+04,4.709854831587e+01
146.0,7.400060833942e-01,1.141325281452e-03,3.528456393427e-01,3.221693189055e-05,9.665079567164e-06,3.000000000000e-10,3.097449495577e-16,1.656778800000e-15,1.966523749558e-15,4.434550427673e-08,4.750197553456e+04,4.676711671644e+01
148.0,7.500061667283e-01,1.111092839549e-03,3.478462177127e-01,3.091915534118e-05,9.275746602354e-06,3.000000000000e-10,2.972693459764e-16,1.656778800000e-15,1.954048145976e-15,4.420461679481e-08,4.403139974224e+04,4.643762491743e+01
150.0,7.600062500625e-01,1.082045914852e-03,3.429176322044e-01,2.968420984461e-05,8.905262953383e-06,3.000000000000e-10,2.853977410632e-16,1.656778800000e-15,1.942176541063e-15,4.407013207449e-08,4.083238912230e+04,4.611004791441e+01
152.0,7.700063333967e-01,1.054123323729e-03,3.380588791504e-01,2.850845994449e-05,8.552537983346e-06,3.000000000000e-10,2.740951869588e-16,1.656778800000e-15,1.930873986959e-15,4.394171124295e-08,3.788227841413e+04,4.578436091581e+01
154.0,7.800064167308e-01,1.027267779264e-03,3.332689691043e-01,2.738851790316e-05,8.216555370947e-06,3.000000000000e-10,2.633291171385e-16,1.656778800000e-15,1.920107917138e-15,4.381903601334e-08,3.516041028801e+04,4.546053934228e+01
156.0,7.900065000650e-01,1.001425597202e-03,3.285469266388e-01,2.632122417746e-05,7.896367253238e-06,3.000000000000e-10,2.530691587249e-16,1.656778800000e-15,1.909847958725e-15,4.370180727069e-08,3.264794745213e+04,4.513855882756e+01
