distance_m,wavelength_nm,attenuation_per_m,attenuation_uncertainty_per_m,transmittance,transmittance_uncertainty,transmittance_lower,transmittance_upper,path_loss_db,path_loss_uncertainty_db,path_loss_lower_db,path_loss_upper_db
0.0,458.0,1.175829847849e-02,5.628496325959e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,460.0,1.186674613428e-02,5.229570992325e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,462.0,1.205637353789e-02,5.726021699813e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,464.0,1.222714806386e-02,5.128029335937e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,466.0,1.241903814858e-02,5.127033612477e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,468.0,1.257201325038e-02,4.628895299853e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,470.0,1.283604381141e-02,4.230515421144e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,472.0,1.314110122105e-02,4.527496373465e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,474.0,1.344715778091e-02,4.228420892980e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,476.0,1.378418667130e-02,4.426195267046e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,478.0,1.413216191905e-02,4.624196401243e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,480.0,1.446105836676e-02,5.220679311898e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,482.0,1.482085164323e-02,6.017315960521e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,484.0,1.518151813511e-02,5.518240312092e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,486.0,1.556303495983e-02,5.318283042615e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,488.0,1.607537993942e-02,4.919101016576e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,490.0,1.672853157561e-02,5.416754181863e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,492.0,1.754246902578e-02,5.515898572758e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,494.0,1.853717207993e-02,5.415651233107e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,496.0,1.976262113856e-02,5.814089769758e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,498.0,2.124879719143e-02,6.811623343282e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,500.0,2.268568179718e-02,7.410329793719e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,502.0,2.434325706370e-02,8.508698884631e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,504.0,2.613150562929e-02,8.408514241043e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,506.0,2.854041064458e-02,9.607207976861e-04,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
0.0,508.0,3.153995575512e-02,1.060631649172e-03,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000,0.000000000,0.000000000,0.000000000
