wavelength_nm,absorption_per_m,absorption_uncertainty_per_m,scattering_per_m,scattering_uncertainty_per_m,attenuation_per_m,combined_uncertainty_per_m,relative_attenuation_uncertainty,attenuation_lower_per_m,attenuation_upper_per_m,attenuation_length_m,attenuation_length_uncertainty_m,half_power_distance_m,half_power_distance_uncertainty_m,scattering_relative_uncertainty_assumption
428.0,3.580000000000e-03,3.100000000000e-04,3.769128495696e-03,7.538256991392e-05,7.349128495696e-03,3.190337471912e-04,0.043411099,7.030094748505e-03,7.668162242887e-03,136.070555929,5.906972421,94.316922199,4.094401279,0.020000
430.0,3.760000000000e-03,3.100000000000e-04,3.695097310597e-03,7.390194621194e-05,7.455097310597e-03,3.186871469857e-04,0.042747550,7.136410163611e-03,7.773784457583e-03,134.136411416,5.734002989,92.976275383,3.974508005,0.020000
432.0,3.950000000000e-03,3.400000000000e-04,3.622896136960e-03,7.245792273920e-05,7.572896136960e-03,3.476350824754e-04,0.045905170,7.225261054485e-03,7.920531219435e-03,132.049876548,6.061771995,91.529999623,4.201700168,0.020000
434.0,4.170000000000e-03,3.600000000000e-04,3.552470170618e-03,7.104940341236e-05,7.722470170618e-03,3.669441615904e-04,0.047516423,7.355526009028e-03,8.089414332208e-03,129.492245086,6.153008332,89.757184585,4.264940377,0.020000
436.0,4.420000000000e-03,3.800000000000e-04,3.483766543389e-03,6.967533086778e-05,7.903766543389e-03,3.863348958243e-04,0.048879847,7.517431647565e-03,8.290101439213e-03,126.521955641,6.184373777,87.698336832,4.286681247,0.020000
438.0,4.800000000000e-03,3.600000000000e-04,3.416734244034e-03,6.833468488068e-05,8.216734244034e-03,3.664282046428e-04,0.044595358,7.850306039391e-03,8.583162448677e-03,121.702853019,5.427382292,84.357989436,3.761974733,0.020000
440.0,5.220000000000e-03,3.800000000000e-04,3.351324042880e-03,6.702648085760e-05,8.571324042880e-03,3.858659730219e-04,0.045018246,8.185458069858e-03,8.957190015902e-03,116.668089434,5.252192733,80.868157252,3.640542585,0.020000
442.0,5.740000000000e-03,4.000000000000e-04,3.287488419921e-03,6.574976839842e-05,9.027488419921e-03,4.053677738110e-04,0.044903716,8.622120646110e-03,9.432856193732e-03,110.772781253,4.974109481,76.781841008,3.447789962,0.020000
444.0,6.260000000000e-03,5.000000000000e-04,3.225181496220e-03,6.450362992440e-05,9.485181496220e-03,5.041435492728e-04,0.053150649,8.981037946947e-03,9.989325045493e-03,105.427608359,5.603545772,73.076849487,3.884081953,0.020000
446.0,6.910000000000e-03,5.700000000000e-04,3.164358968437e-03,6.328717936874e-05,1.007435896844e-02,5.735026303972e-04,0.056926960,9.500856338043e-03,1.064786159884e-02,99.261898760,5.650678144,68.803105263,3.916751624,0.020000
