wavelength_nm,temperature_c,depolarization_ratio,beta_90_per_m_sr,scattering_coefficient_per_m
593.0,20.0,0.039,5.851818869805e-05,9.620799373429e-04
594.0,20.0,0.039,5.811104276039e-05,9.553861734568e-04
595.0,20.0,0.039,5.770744023901e-05,9.487506658116e-04
596.0,20.0,0.039,5.730734403736e-05,9.421728045145e-04
597.0,20.0,0.039,5.691071751380e-05,9.356519871512e-04
598.0,20.0,0.039,5.651752447516e-05,9.291876186805e-04
599.0,20.0,0.039,5.612772917043e-05,9.227791113310e-04
600.0,20.0,0.039,5.574129628458e-05,9.164258844989e-04
601.0,20.0,0.039,5.535819093243e-05,9.101273646474e-04
602.0,20.0,0.039,5.497837865266e-05,9.038829852082e-04
603.0,20.0,0.039,5.460182540187e-05,8.976921864841e-04
604.0,20.0,0.039,5.422849754878e-05,8.915544155534e-04
605.0,20.0,0.039,5.385836186850e-05,8.854691261756e-04
606.0,20.0,0.039,5.349138553687e-05,8.794357786986e-04
607.0,20.0,0.039,5.312753612494e-05,8.734538399677e-04
608.0,20.0,0.039,5.276678159347e-05,8.675227832356e-04
609.0,20.0,0.039,5.240909028760e-05,8.616420880739e-04
610.0,20.0,0.039,5.205443093149e-05,8.558112402864e-04
611.0,20.0,0.039,5.170277262318e-05,8.500297318229e-04
612.0,20.0,0.039,5.135408482940e-05,8.442970606952e-04
613.0,20.0,0.039,5.100833738055e-05,8.386127308941e-04
614.0,20.0,0.039,5.066550046573e-05,8.329762523074e-04
615.0,20.0,0.039,5.032554462781e-05,8.273871406394e-04
616.0,20.0,0.039,4.998844075867e-05,8.218449173321e-04
617.0,20.0,0.039,4.965416009438e-05,8.163491094864e-04
618.0,20.0,0.039,4.932267421058e-05,8.108992497862e-04
619.0,20.0,0.039,4.899395501786e-05,8.054948764219e-04
620.0,20.0,0.039,4.866797475725e-05,8.001355330164e-04
621.0,20.0,0.039,4.834470599572e-05,7.948207685516e-04
622.0,20.0,0.039,4.802412162182e-05,7.895501372961e-04
623.0,20.0,0.039,4.770619484132e-05,7.843231987345e-04
624.0,20.0,0.039,4.739089917299e-05,7.791395174966e-04
625.0,20.0,0.039,4.707820844438e-05,7.739986632891e-04
626.0,20.0,0.039,4.676809678770e-05,7.689002108273e-04
627.0,20.0,0.039,4.646053863573e-05,7.638437397682e-04
628.0,20.0,0.039,4.615550871782e-05,7.588288346449e-04
629.0,20.0,0.039,4.585298205597e-05,7.538550848014e-04
630.0,20.0,0.039,4.555293396089e-05,7.489220843286e-04
631.0,20.0,0.039,4.525534002822e-05,7.440294320017e-04
632.0,20.0,0.039,4.496017613472e-05,7.391767312179e-04
633.0,20.0,0.039,4.466741843457e-05,7.343635899352e-04
634.0,20.0,0.039,4.437704335574e-05,7.295896206127e-04
635.0,20.0,0.039,4.408902759630e-05,7.248544401507e-04
636.0,20.0,0.039,4.380334812096e-05,7.201576698328e-04
637.0,20.0,0.039,4.351998215752e-05,7.154989352681e-04
638.0,20.0,0.039,4.323890719343e-05,7.108778663346e-04
639.0,20.0,0.039,4.296010097241e-05,7.062940971233e-04
640.0,20.0,0.039,4.268354149107e-05,7.017472658833e-04
641.0,20.0,0.039,4.240920699564e-05,6.972370149675e-04
642.0,20.0,0.039,4.213707597874e-05,6.927629907792e-04
643.0,20.0,0.039,4.186712717612e-05,6.883248437195e-04
644.0,20.0,0.039,4.159933956357e-05,6.839222281355e-04
645.0,20.0,0.039,4.133369235376e-05,6.795548022693e-04
646.0,20.0,0.039,4.107016499323e-05,6.752222282072e-04
647.0,20.0,0.039,4.080873715931e-05,6.709241718308e-04
648.0,20.0,0.039,4.054938875722e-05,6.666603027674e-04
649.0,20.0,0.039,4.029209991708e-05,6.624302943425e-04
650.0,20.0,0.039,4.003685099105e-05,6.582338235319e-04
651.0,20.0,0.039,3.978362255048e-05,6.540705709149e-04
652.0,20.0,0.039,3.953239538311e-05,6.499402206286e-04
653.0,20.0,0.039,3.928315049028e-05,6.458424603218e-04
654.0,20.0,0.039,3.903586908427e-05,6.417769811111e-04
655.0,20.0,0.039,3.879053258554e-05,6.377434775358e-04
656.0,20.0,0.039,3.854712262011e-05,6.337416475152e-04
657.0,20.0,0.039,3.830562101700e-05,6.297711923053e-04
658.0,20.0,0.039,3.806600980559e-05,6.258318164567e-04
659.0,20.0,0.039,3.782827121311e-05,6.219232277726e-04
660.0,20.0,0.039,3.759238766216e-05,6.180451372684e-04
661.0,20.0,0.039,3.735834176824e-05,6.141972591305e-04
662.0,20.0,0.039,3.712611633731e-05,6.103793106771e-04
663.0,20.0,0.039,3.689569436341e-05,6.065910123182e-04
664.0,20.0,0.039,3.666705902629e-05,6.028320875171e-04
665.0,20.0,0.039,3.644019368911e-05,5.991022627526e-04
666.0,20.0,0.039,3.621508189611e-05,5.954012674804e-04
667.0,20.0,0.039,3.599170737038e-05,5.917288340969e-04
668.0,20.0,0.039,3.577005401162e-05,5.880846979018e-04
669.0,20.0,0.039,3.555010589395e-05,5.844685970625e-04
670.0,20.0,0.039,3.533184726375e-05,5.808802725784e-04
671.0,20.0,0.039,3.511526253748e-05,5.773194682454e-04
672.0,20.0,0.039,3.490033629965e-05,5.737859306218e-04
673.0,20.0,0.039,3.468705330067e-05,5.702794089939e-04
674.0,20.0,0.039,3.447539845486e-05,5.667996553425e-04
675.0,20.0,0.039,3.426535683839e-05,5.633464243095e-04
676.0,20.0,0.039,3.405691368732e-05,5.599194731652e-04
677.0,20.0,0.039,3.385005439561e-05,5.565185617762e-04
678.0,20.0,0.039,3.364476451322e-05,5.531434525736e-04
679.0,20.0,0.039,3.344102974414e-05,5.497939105214e-04
680.0,20.0,0.039,3.323883594459e-05,5.464697030855e-04
681.0,20.0,0.039,3.303816912110e-05,5.431706002037e-04
682.0,20.0,0.039,3.283901542869e-05,5.398963742548e-04
683.0,20.0,0.039,3.264136116908e-05,5.366468000296e-04
684.0,20.0,0.039,3.244519278892e-05,5.334216547014e-04
685.0,20.0,0.039,3.225049687799e-05,5.302207177969e-04
686.0,20.0,0.039,3.205726016751e-05,5.270437711680e-04
687.0,20.0,0.039,3.186546952839e-05,5.238905989635e-04
688.0,20.0,0.039,3.167511196961e-05,5.207609876016e-04
689.0,20.0,0.039,3.148617463648e-05,5.176547257424e-04
690.0,20.0,0.039,3.129864480905e-05,5.145716042610e-04
691.0,20.0,0.039,3.111250990047e-05,5.115114162209e-04
692.0,20.0,0.039,3.092775745541e-05,5.084739568477e-04
693.0,20.0,0.039,3.074437514848e-05,5.054590235032e-04
694.0,20.0,0.039,3.056235078267e-05,5.024664156603e-04
695.0,20.0,0.039,3.038167228782e-05,4.994959348769e-04
696.0,20.0,0.039,3.020232771911e-05,4.965473847721e-04
697.0,20.0,0.039,3.002430525559e-05,4.936205710008e-04
698.0,20.0,0.039,2.984759319867e-05,4.907153012303e-04
699.0,20.0,0.039,2.967217997070e-05,4.878313851158e-04
700.0,20.0,0.039,2.949805411350e-05,4.849686342770e-04
