distance_m,best_wavelength_nm,minimum_attenuation_per_m,maximum_transmittance,minimum_path_loss_db
56.0,416.0,7.135080595916e-03,6.706120250245e-01,1.735286633
58.0,416.0,7.135080595916e-03,6.611102405709e-01,1.797261156
60.0,416.0,7.135080595916e-03,6.517430852387e-01,1.859235678
62.0,416.0,7.135080595916e-03,6.425086514916e-01,1.921210201
64.0,416.0,7.135080595916e-03,6.334050588207e-01,1.983184724
66.0,416.0,7.135080595916e-03,6.244304533615e-01,2.045159246
68.0,416.0,7.135080595916e-03,6.155830075169e-01,2.107133769
70.0,416.0,7.135080595916e-03,6.068609195846e-01,2.169108292
72.0,416.0,7.135080595916e-03,5.982624133902e-01,2.231082814
74.0,416.0,7.135080595916e-03,5.897857379256e-01,2.293057337
76.0,416.0,7.135080595916e-03,5.814291669927e-01,2.355031859
78.0,416.0,7.135080595916e-03,5.731909988512e-01,2.417006382
80.0,416.0,7.135080595916e-03,5.650695558728e-01,2.478980905
82.0,416.0,7.135080595916e-03,5.570631841991e-01,2.540955427
84.0,416.0,7.135080595916e-03,5.491702534049e-01,2.602929950
86.0,416.0,7.135080595916e-03,5.413891561661e-01,2.664904472
88.0,416.0,7.135080595916e-03,5.337183079327e-01,2.726878995
90.0,416.0,7.135080595916e-03,5.261561466059e-01,2.788853518
92.0,416.0,7.135080595916e-03,5.187011322199e-01,2.850828040
94.0,416.0,7.135080595916e-03,5.113517466283e-01,2.912802563
96.0,416.0,7.135080595916e-03,5.041064931954e-01,2.974777086
98.0,416.0,7.135080595916e-03,4.969638964908e-01,3.036751608
100.0,416.0,7.135080595916e-03,4.899225019892e-01,3.098726131
102.0,416.0,7.135080595916e-03,4.829808757744e-01,3.160700653
104.0,416.0,7.135080595916e-03,4.761376042469e-01,3.222675176
106.0,416.0,7.135080595916e-03,4.693912938364e-01,3.284649699
108.0,416.0,7.135080595916e-03,4.627405707178e-01,3.346624221
110.0,416.0,7.135080595916e-03,4.561840805315e-01,3.408598744
112.0,416.0,7.135080595916e-03,4.497204881075e-01,3.470573266
114.0,416.0,7.135080595916e-03,4.433484771937e-01,3.532547789
116.0,416.0,7.135080595916e-03,4.370667501877e-01,3.594522312
118.0,416.0,7.135080595916e-03,4.308740278726e-01,3.656496834
120.0,416.0,7.135080595916e-03,4.247690491565e-01,3.718471357
122.0,416.0,7.135080595916e-03,4.187505708157e-01,3.780445880
124.0,416.0,7.135080595916e-03,4.128173672416e-01,3.842420402
126.0,416.0,7.135080595916e-03,4.069682301908e-01,3.904394925
128.0,416.0,7.135080595916e-03,4.012019685396e-01,3.966369447
130.0,416.0,7.135080595916e-03,3.955174080409e-01,4.028343970
132.0,416.0,7.135080595916e-03,3.899133910853e-01,4.090318493
134.0,416.0,7.135080595916e-03,3.843887764654e-01,4.152293015
136.0,416.0,7.135080595916e-03,3.789424391436e-01,4.214267538
138.0,416.0,7.135080595916e-03,3.735732700224e-01,4.276242060
140.0,416.0,7.135080595916e-03,3.682801757190e-01,4.338216583
142.0,416.0,7.135080595916e-03,3.630620783428e-01,4.400191106
144.0,416.0,7.135080595916e-03,3.579179152754e-01,4.462165628
146.0,416.0,7.135080595916e-03,3.528466389545e-01,4.524140151
148.0,416.0,7.135080595916e-03,3.478472166605e-01,4.586114673
150.0,416.0,7.135080595916e-03,3.429186303062e-01,4.648089196
152.0,416.0,7.135080595916e-03,3.380598762298e-01,4.710063719
154.0,416.0,7.135080595916e-03,3.332699649898e-01,4.772038241
156.0,416.0,7.135080595916e-03,3.285479211641e-01,4.834012764
158.0,416.0,7.135080595916e-03,3.238927831512e-01,4.895987287
160.0,416.0,7.135080595916e-03,3.193036029743e-01,4.957961809
162.0,416.0,7.135080595916e-03,3.147794460885e-01,5.019936332
164.0,416.0,7.135080595916e-03,3.103193911901e-01,5.081910854
166.0,416.0,7.135080595916e-03,3.059225300291e-01,5.143885377
168.0,416.0,7.135080595916e-03,3.015879672247e-01,5.205859900
170.0,416.0,7.135080595916e-03,2.973148200824e-01,5.267834422
172.0,416.0,7.135080595916e-03,2.931022184142e-01,5.329808945
174.0,416.0,7.135080595916e-03,2.889493043621e-01,5.391783467
176.0,416.0,7.135080595916e-03,2.848552322226e-01,5.453757990
178.0,416.0,7.135080595916e-03,2.808191682749e-01,5.515732513
180.0,416.0,7.135080595916e-03,2.768402906112e-01,5.577707035
182.0,416.0,7.135080595916e-03,2.729177889689e-01,5.639681558
184.0,416.0,7.135080595916e-03,2.690508645662e-01,5.701656081
186.0,416.0,7.135080595916e-03,2.652387299387e-01,5.763630603
188.0,416.0,7.135080595916e-03,2.614806087799e-01,5.825605126
190.0,416.0,7.135080595916e-03,2.577757357822e-01,5.887579648
192.0,416.0,7.135080595916e-03,2.541233564818e-01,5.949554171
194.0,416.0,7.135080595916e-03,2.505227271047e-01,6.011528694
196.0,416.0,7.135080595916e-03,2.469731144153e-01,6.073503216
198.0,416.0,7.135080595916e-03,2.434737955671e-01,6.135477739
200.0,416.0,7.135080595916e-03,2.400240579554e-01,6.197452261
