wavelength_nm,absorption_per_m,absorption_uncertainty_per_m,molecular_scattering_per_m,attenuation_per_m,absorption_fraction,scattering_fraction,model_temperature_c,depolarization_ratio
456.0,8.770000000000e-03,4.500000000000e-04,2.881064299463e-03,1.165106429946e-02,0.752720934,0.247279066,23.0,0.039
458.0,8.930000000000e-03,5.600000000000e-04,2.828298478487e-03,1.175829847849e-02,0.759463626,0.240536374,23.0,0.039
460.0,9.090000000000e-03,5.200000000000e-04,2.776746134281e-03,1.186674613428e-02,0.766006106,0.233993894,23.0,0.039
462.0,9.330000000000e-03,5.700000000000e-04,2.726373537891e-03,1.205637353789e-02,0.773864543,0.226135457,23.0,0.039
464.0,9.550000000000e-03,5.100000000000e-04,2.677148063863e-03,1.222714806386e-02,0.781048855,0.218951145,23.0,0.039
466.0,9.790000000000e-03,5.100000000000e-04,2.629038148577e-03,1.241903814858e-02,0.788305816,0.211694184,23.0,0.039
468.0,9.990000000000e-03,4.600000000000e-04,2.582013250379e-03,1.257201325038e-02,0.794622134,0.205377866,23.0,0.039
470.0,1.030000000000e-02,4.200000000000e-04,2.536043811410e-03,1.283604381141e-02,0.802427925,0.197572075,23.0,0.039
472.0,1.065000000000e-02,4.500000000000e-04,2.491101221051e-03,1.314110122105e-02,0.810434363,0.189565637,23.0,0.039
474.0,1.100000000000e-02,4.200000000000e-04,2.447157780913e-03,1.344715778091e-02,0.818016727,0.181983273,23.0,0.039
476.0,1.138000000000e-02,4.400000000000e-04,2.404186671298e-03,1.378418667130e-02,0.825583712,0.174416288,23.0,0.039
478.0,1.177000000000e-02,4.600000000000e-04,2.362161919053e-03,1.413216191905e-02,0.832852048,0.167147952,23.0,0.039
480.0,1.214000000000e-02,5.200000000000e-04,2.321058366764e-03,1.446105836676e-02,0.839495955,0.160504045,23.0,0.039
482.0,1.254000000000e-02,6.000000000000e-04,2.280851643226e-03,1.482085164323e-02,0.846105224,0.153894776,23.0,0.039
484.0,1.294000000000e-02,5.500000000000e-04,2.241518135114e-03,1.518151813511e-02,0.852352175,0.147647825,23.0,0.039
486.0,1.336000000000e-02,5.300000000000e-04,2.203034959826e-03,1.556303495983e-02,0.858444387,0.141555613,23.0,0.039
488.0,1.391000000000e-02,4.900000000000e-04,2.165379939420e-03,1.607537993942e-02,0.865298366,0.134701634,23.0,0.039
490.0,1.460000000000e-02,5.400000000000e-04,2.128531575614e-03,1.672853157561e-02,0.872760405,0.127239595,23.0,0.039
492.0,1.545000000000e-02,5.500000000000e-04,2.092469025784e-03,1.754246902578e-02,0.880719811,0.119280189,23.0,0.039
494.0,1.648000000000e-02,5.400000000000e-04,2.057172079930e-03,1.853717207993e-02,0.889024492,0.110975508,23.0,0.039
496.0,1.774000000000e-02,5.800000000000e-04,2.022621138556e-03,1.976262113856e-02,0.897654207,0.102345793,23.0,0.039
498.0,1.926000000000e-02,6.800000000000e-04,1.988797191430e-03,2.124879719143e-02,0.906404246,0.093595754,23.0,0.039
500.0,2.073000000000e-02,7.400000000000e-04,1.955681797182e-03,2.268568179718e-02,0.913792241,0.086207759,23.0,0.039
502.0,2.242000000000e-02,8.500000000000e-04,1.923257063698e-03,2.434325706370e-02,0.920994259,0.079005741,23.0,0.039
504.0,2.424000000000e-02,8.400000000000e-04,1.891505629288e-03,2.613150562929e-02,0.927615896,0.072384104,23.0,0.039
506.0,2.668000000000e-02,9.600000000000e-04,1.860410644580e-03,2.854041064458e-02,0.934814861,0.065185139,23.0,0.039
508.0,2.971000000000e-02,1.060000000000e-03,1.829955755118e-03,3.153995575512e-02,0.941979762,0.058020238,23.0,0.039
510.0,3.300000000000e-02,1.220000000000e-03,1.800125084628e-03,3.480012508463e-02,0.948272454,0.051727546,23.0,0.039
512.0,3.569000000000e-02,1.230000000000e-03,1.770903218928e-03,3.746090321893e-02,0.952726628,0.047273372,23.0,0.039
514.0,3.738000000000e-02,1.230000000000e-03,1.742275190450e-03,3.912227519045e-02,0.955465903,0.044534097,23.0,0.039
516.0,3.821000000000e-02,1.310000000000e-03,1.714226463345e-03,3.992422646334e-02,0.957063001,0.042936999,23.0,0.039
518.0,3.878000000000e-02,1.290000000000e-03,1.686742919163e-03,4.046674291916e-02,0.958317799,0.041682201,23.0,0.039
520.0,3.917000000000e-02,1.290000000000e-03,1.659810843058e-03,4.082981084306e-02,0.959348064,0.040651936,23.0,0.039
522.0,3.962000000000e-02,1.170000000000e-03,1.633416910520e-03,4.125341691052e-02,0.960405294,0.039594706,23.0,0.039
524.0,4.017000000000e-02,1.220000000000e-03,1.607548174591e-03,4.177754817459e-02,0.961521242,0.038478758,23.0,0.039
526.0,4.088000000000e-02,1.180000000000e-03,1.582192053566e-03,4.246219205357e-02,0.962738804,0.037261196,23.0,0.039
528.0,4.162000000000e-02,1.200000000000e-03,1.557336319142e-03,4.317733631914e-02,0.963931626,0.036068374,23.0,0.039
530.0,4.242000000000e-02,1.170000000000e-03,1.532969084999e-03,4.395296908500e-02,0.965122514,0.034877486,23.0,0.039
532.0,4.330000000000e-02,1.250000000000e-03,1.509078795811e-03,4.480907879581e-02,0.966322030,0.033677970,23.0,0.039
534.0,4.436000000000e-02,1.290000000000e-03,1.485654216642e-03,4.584565421664e-02,0.967594437,0.032405563,23.0,0.039
536.0,4.541000000000e-02,1.400000000000e-03,1.462684422735e-03,4.687268442274e-02,0.968794524,0.031205476,23.0,0.039
538.0,4.645000000000e-02,1.360000000000e-03,1.440158789674e-03,4.789015878967e-02,0.969927876,0.030072124,23.0,0.039
540.0,4.754000000000e-02,1.420000000000e-03,1.418066983887e-03,4.895806698389e-02,0.971035070,0.028964930,23.0,0.039
542.0,4.882000000000e-02,1.410000000000e-03,1.396398953500e-03,5.021639895350e-02,0.972192372,0.027807628,23.0,0.039
544.0,5.040000000000e-02,1.500000000000e-03,1.375144919507e-03,5.177514491951e-02,0.973440057,0.026559943,23.0,0.039
546.0,5.224000000000e-02,1.500000000000e-03,1.354295367267e-03,5.359429536727e-02,0.974730606,0.025269394,23.0,0.039
548.0,5.425000000000e-02,1.630000000000e-03,1.333841038284e-03,5.558384103828e-02,0.976003079,0.023996921,23.0,0.039
550.0,5.629000000000e-02,1.840000000000e-03,1.313772922290e-03,5.760377292229e-02,0.977192936,0.022807064,23.0,0.039
