distance_m,received_power_w,photon_energy_j,bit_duration_s,mean_received_photons_per_bit,detector_efficiency,mean_detected_photons_per_bit
192.0,1.3503997131773281e-05,4.775110233531078e-19,5e-08,1413998.4703334693,0.8941168156240403,1264279.8095918256
194.0,1.3042360021509561e-05,4.775110233531078e-19,5e-08,1365660.6218140696,0.8941168156240403,1221060.1263995427
196.0,1.2599127666228437e-05,4.775110233531078e-19,5e-08,1319249.9282798427,0.8941168156240403,1179563.5448858165
198.0,1.2173442142390795e-05,4.775110233531078e-19,5e-08,1274676.5568790678,0.8941168156240403,1139709.743987328
200.0,1.1764491995860566e-05,4.775110233531078e-19,5e-08,1231855.5405537735,0.8941168156240403,1101422.7532287708
202.0,1.1371509350657955e-05,4.775110233531078e-19,5e-08,1190706.4752983723,0.8941168156240403,1064630.6820367058
204.0,1.0993767221613046e-05,4.775110233531078e-19,5e-08,1151153.2387686286,0.8941168156240403,1029265.4681431068
206.0,1.0630577014829458e-05,4.775110233531078e-19,5e-08,1113123.7285561473,0.8941168156240403,995262.6435721811
208.0,1.0281286201272117e-05,4.775110233531078e-19,5e-08,1076549.618590622,0.8941168156240403,962561.1168355221
210.0,9.945276150063497e-06,4.775110233531078e-19,5e-08,1041366.132265098,0.8941168156240403,931102.9700795927
212.0,9.62196010922271e-06,4.775110233531078e-19,5e-08,1007511.8309999207,0.8941168156240403,900833.2700371954
214.0,9.310781322623618e-06,4.775110233531078e-19,5e-08,974928.4170701251,0.8941168156240403,871699.8917321266
216.0,9.01121127289331e-06,4.775110233531078e-19,5e-08,943560.5496199966,0.8941168156240403,843653.3539747007
218.0,8.722748040830119e-06,4.775110233531078e-19,5e-08,913355.6728783471,0.8941168156240403,816646.6657661403
220.0,8.444914772699725e-06,4.775110233531078e-19,5e-08,884263.8556696643,0.8941168156240403,790635.1828027962
222.0,8.177258247476815e-06,4.775110233531078e-19,5e-08,856237.6413905246,0.8941168156240403,765576.4733375348
224.0,7.919347536744818e-06,4.775110233531078e-19,5e-08,829231.9076881972,0.8941168156240403,741430.1927160191
226.0,7.670772750553953e-06,4.775110233531078e-19,5e-08,803203.7351399113,0.8941168156240403,718157.9659606325
228.0,7.43114386307351e-06,4.775110233531078e-19,5e-08,778112.2842873471,0.8941168156240403,695723.2778249508
230.0,7.200089612363224e-06,4.775110233531078e-19,5e-08,753918.6804321093,0.8941168156240403,674091.369787436
232.0,6.977256469034793e-06,4.775110233531078e-19,5e-08,730585.905644662,0.8941168156240403,653229.1434948108
234.0,6.762307668982719e-06,4.775110233531078e-19,5e-08,708078.6974819382,0.8941168156240403,633105.0702037688
236.0,6.554922305736493e-06,4.775110233531078e-19,5e-08,686363.4539478774,0.8941168156240403,613689.1058045938
238.0,6.354794478327746e-06,4.775110233531078e-19,5e-08,665408.1442669156,0.8941168156240403,594952.6110422367
240.0,6.1616324908785836e-06,4.775110233531078e-19,5e-08,645182.2250731797,0.8941168156240403,576868.2765796643
242.0,5.97515810040408e-06,4.775110233531078e-19,5e-08,625656.561648169,0.8941168156240403,559410.0525751469
244.0,5.7951058095846925e-06,4.775110233531078e-19,5e-08,606803.3538672207,0.8941168156240403,542553.082469747
246.0,5.621222201505816e-06,4.775110233531078e-19,5e-08,588596.0665403381,0.8941168156240403,526273.6407038829
248.0,5.453265313583258e-06,4.775110233531078e-19,5e-08,571009.3638561617,0.8941168156240403,510549.0741025803
250.0,5.291004048097214e-06,4.775110233531078e-19,5e-08,554019.047659204,0.8941168156240403,495357.7466881109
252.0,5.134217616944702e-06,4.775110233531078e-19,5e-08,537601.9993100843,0.8941168156240403,480678.9876962501
254.0,4.982695018392874e-06,4.775110233531078e-19,5e-08,521736.1248965652,0.8941168156240403,466493.0425885435
256.0,4.836234543774471e-06,4.775110233531078e-19,5e-08,506400.30357981834,0.8941168156240403,452781.0268678345
258.0,4.694643312213082e-06,4.775110233531078e-19,5e-08,491574.33887568145,0.8941168156240403,439524.8825180172
260.0,4.5577368316008105e-06,4.775110233531078e-19,5e-08,477238.9126847941,0.8941168156240403,426707.3369016075
262.0,4.425338584175534e-06,4.775110233531078e-19,5e-08,463375.5418985483,0.8941168156240403,414311.8639603941
264.0,4.297279635159888e-06,4.775110233531078e-19,5e-08,449966.53741982346,0.8941168156240403,402322.64757518814
266.0,4.173398263030404e-06,4.775110233531078e-19,5e-08,436994.96544860676,0.8941168156240403,390724.5469506458
268.0,4.053539610083312e-06,4.775110233531078e-19,5e-08,424444.6108928691,0.8941168156240403,379503.063900317
270.0,3.93755535205444e-06,4.775110233531078e-19,5e-08,412299.9427745894,0.8941168156240403,368644.31191558996
272.0,3.8253033856346305e-06,4.775110233531078e-19,5e-08,400546.08150961064,0.8941168156240403,358134.98691006034
274.0,3.71664753279991e-06,4.775110233531078e-19,5e-08,389168.7679481631,0.8941168156240403,347962.33953814267
276.0,3.611457260947758e-06,4.775110233531078e-19,5e-08,378154.33407043805,0.8941168156240403,338114.1489934896
278.0,3.5096074178976435e-06,4.775110233531078e-19,5e-08,367489.6752385938,0.8941168156240403,328578.6981990442
280.0,3.410977980875988e-06,4.775110233531078e-19,5e-08,357162.22391306475,0.8941168156240403,319344.75030634995
282.0,3.3154538186631944e-06,4.775110233531078e-19,5e-08,347159.9247470667,0.8941168156240403,310401.52642712876
284.0,3.2229244661338233e-06,4.775110233531078e-19,5e-08,337471.21097878285,0.8941168156240403,301738.684525138
286.0,3.1332839104705687e-06,4.775110233531078e-19,5e-08,328084.98204590986,0.8941168156240403,293346.29940095934
288.0,3.046430388378776e-06,4.775110233531078e-19,5e-08,318990.5823520659,0.8941168156240403,285214.84370668733
290.0,2.9622661936711737e-06,4.775110233531078e-19,5e-08,310177.78111906006,0.8941168156240403,277335.1699315046
292.0,2.8806974946322455e-06,4.775110233531078e-19,5e-08,301636.7532631848,0.8941168156240403,269698.49330285314
294.0,2.8016341606089187e-06,4.775110233531078e-19,5e-08,293358.0612375914,0.8941168156240403,262296.37555139745
296.0,2.7249895973087207e-06,4.775110233531078e-19,5e-08,285332.63778642204,0.8941168156240403,255120.7094912034
298.0,2.6506805903187715e-06,4.775110233531078e-19,5e-08,277551.7695597424,0.8941168156240403,248163.70436957435
300.0,2.578627156388999e-06,4.775110233531078e-19,5e-08,270007.0815414628,0.8941168156240403,241417.87194379332
302.0,2.508752402050963e-06,4.775110233531078e-19,5e-08,262690.5222453683,0.8941168156240403,234876.01324464483
304.0,2.4409823891697416e-06,4.775110233531078e-19,5e-08,255594.34963710714,0.8941168156240403,228531.20598902783
306.0,2.3752460070507473e-06,4.775110233531078e-19,5e-08,248711.11774254372,0.8941168156240403,222376.79260625894
308.0,2.3114748507460605e-06,4.775110233531078e-19,5e-08,242033.6639052603,0.8941168156240403,216406.36884479056
310.0,2.24960310522613e-06,4.775110233531078e-19,5e-08,235555.09665821923,0.8941168156240403,210613.77292806
312.0,2.189567435102577e-06,4.775110233531078e-19,5e-08,229268.78417667907,0.8941168156240403,204993.07523004766
314.0,2.131306879606369e-06,4.775110233531078e-19,5e-08,223168.34328139888,0.8941168156240403,199538.56844285707
316.0,2.0747627525430485e-06,4.775110233531078e-19,5e-08,217247.62896298748,0.8941168156240403,194244.7582102594
318.0,2.0198785469629056e-06,4.775110233531078e-19,5e-08,211500.72439995318,0.8941168156240403,189106.3542026639
320.0,1.9665998442992472e-06,4.775110233531078e-19,5e-08,205921.93144460607,0.8941168156240403,184118.26161040313
322.0,1.914874227742138e-06,4.775110233531078e-19,5e-08,200505.76155245476,0.8941168156240403,179275.57303355398
324.0,1.8646511996283324e-06,4.775110233531078e-19,5e-08,195246.92713213744,0.8941168156240403,174573.56074776576
326.0,1.8158821026406586e-06,4.775110233531078e-19,5e-08,190140.3332942387,0.8941168156240403,170007.6693267384
328.0,1.7685200446218047e-06,4.775110233531078e-19,5e-08,185181.06997856958,0.8941168156240403,165573.5086030912
330.0,1.7225198268185048e-06,4.775110233531078e-19,5e-08,180364.40444064295,0.8941168156240403,161266.8469503942
332.0,1.6778378753824095e-06,4.775110233531078e-19,5e-08,175685.77407915553,0.8941168156240403,157083.6048700991
334.0,1.6344321759636358e-06,4.775110233531078e-19,5e-08,171140.77958730314,0.8941168156240403,153019.84886801525
336.0,1.5922622112420763e-06,4.775110233531078e-19,5e-08,166725.17841170725,0.8941168156240403,149071.7856058257
338.0,1.551288901250123e-06,4.775110233531078e-19,5e-08,162434.8785036301,0.8941168156240403,145235.75631394362
340.0,1.5114745463484493e-06,4.775110233531078e-19,5e-08,158265.93234799005,0.8941168156240403,141508.23145275467
342.0,1.4727827727240877e-06,4.775110233531078e-19,5e-08,154214.53125648585,0.8941168156240403,137885.80561000315
344.0,1.4351784802871005e-06,4.775110233531078e-19,5e-08,150276.99991187645,0.8941168156240403,134365.19262274116
346.0,1.3986277928488482e-06,4.775110233531078e-19,5e-08,146449.79115116646,0.8941168156240403,130943.22091288671
348.0,1.363098010471137e-06,4.775110233531078e-19,5e-08,142729.48097610293,0.8941168156240403,127616.8290260252
350.0,1.3285575638814203e-06,4.775110233531078e-19,5e-08,139112.7637800085,0.8941168156240403,124383.06136364055
352.0,1.2949759708548373e-06,4.775110233531078e-19,5e-08,135596.44778056085,0.8941168156240403,121239.06409948654
354.0,1.2623237944690715e-06,4.775110233531078e-19,5e-08,132177.4506486747,0.8941168156240403,118182.08127129677
